sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,year,yday,stationId,dist_km
RS_Kal_16_29,Serbia,Kalna,2016/09/13,43.4,22.42,spring,RS_Kal,pooled,Europe,DrosEU,40,SRR8494471,SRX5298996,2016,257,RIE00100814,42.7985935792149
RS_Sla_16_30,Serbia,Slankamen. Vinogradi,2016/06/18,45.15,20.18,spring,RS_Sla,pooled,Europe,DrosEU,40,SRR8494473,SRX5298994,2016,170,RIE00111909,32.9455385615676
RS_Sla_16_31,Serbia,Slankamen. Vinogradi,2016/09/09,45.15,20.18,spring,RS_Sla,pooled,Europe,DrosEU,40,SRR8494474,SRX5298993,2016,253,RIE00111909,32.9455385615676
RU_Ale_15_55,Russia,Alexandrov,2015/09/15,56.41472,38.71611,spring,RU_Ale,pooled,Europe,DrosEU,40,SRR8439141,SRX5246567,2015,258,RSM00027523,72.1493296336213
RU_Ale_16_22,Russia,Alexandrov,2016/10/15,56.41472,38.71611,fall,RU_Ale,pooled,Europe,DrosEU,40,SRR8494476,SRX5298991,2016,289,RSM00027523,72.1493296336213
RU_Val_14_51,Russia,Valday,2014/08/17,57.9788789,33.243615,spring,RU_Val,pooled,Europe,DrosEU,40,SRR5647741,SRX2885367,2014,229,RSM00026298,51.4805120521969
RU_Val_16_19,Russia,Valday,2016/08/23,58.02444,33.235277,spring,RU_Val,pooled,Europe,DrosEU,40,SRR8494449,SRX5299018,2016,236,RSM00026285,49.400290983679
RU_Val_16_20,Russia,Valday,2016/09/29,58.02444,33.235277,spring,RU_Val,pooled,Europe,DrosEU,40,SRR8494450,SRX5299017,2016,273,RSM00026285,49.400290983679
RU_Val_16_21,Russia,Valday,2016/10/24,58.02444,33.235277,fall,RU_Val,pooled,Europe,DrosEU,40,SRR8494477,SRX5298990,2016,298,RSM00026285,49.400290983679
RU_tul_15_37,Russia,tula,2015/09/20,53.99778,38.13167,spring,RU_tul,pooled,Europe,DrosEU,40,SRR8439159,SRX5246549,2015,263,RSM00027719,42.640625437453
RU_val_15_36,Russia,valday,2015/08/23,58.024,33.23528,spring,RU_val,pooled,Europe,DrosEU,40,SRR8439160,SRX5246548,2015,235,RSM00026285,49.4274696935412
RU_val_15_38,Russia,valday,2015/10/05,58.024,33.23528,fall,RU_val,pooled,Europe,DrosEU,40,SRR8439158,SRX5246550,2015,278,RSM00026285,49.4274696935412
SE_Lun_14_30,Sweden,Lund,2014/07/31,55.694,13.198,spring,SE_Lun,pooled,Europe,DrosEU,40,SRR5647735,SRX2885373,2014,212,SWE00137534,15.7543377970714
SE_Lun_15_14,Sweden,Lund,2015/08/24,55.694,13.198,spring,SE_Lun,pooled,Europe,DrosEU,40,SRR8439156,SRX5246552,2015,236,SWE00137534,15.7543377970714
SE_Lun_15_15,Sweden,Lund,2015/08/08,55.694,13.198,spring,SE_Lun,pooled,Europe,DrosEU,40,SRR8439151,SRX5246557,2015,220,SWE00137534,15.7543377970714
TR_Yes_14_03,Turkey,Yesiloz,2014/08/31,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR5647749,SRX2885359,2014,243,TUM00017130,61.6148065349833
TR_Yes_14_04,Turkey,Yesiloz,2014/10/23,40.231444,32.260328,fall,TR_Yes,pooled,Europe,DrosEU,40,SRR5647748,SRX2885360,2014,296,TUM00017130,61.6148065349833
TR_Yes_15_3,Turkey,Yesiloz,2015/05/01,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8439113,SRX5246594,2015,121,TUM00017130,61.6148065349833
TR_Yes_15_4,Turkey,Yesiloz,2015/06/01,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8439111,SRX5246597,2015,152,TUM00017130,61.6148065349833
TR_Yes_15_5,Turkey,Yesiloz,2015/07/28,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8439110,SRX5246598,2015,209,TUM00017130,61.6148065349833
TR_Yes_15_6,Turkey,Yesiloz,2015/08/27,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8439109,SRX5246599,2015,239,TUM00017130,61.6148065349833
TR_Yes_15_7,Turkey,Yesiloz,2015/09/17,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8439108,SRX5246600,2015,260,TUM00017130,61.6148065349833
TR_Yes_15_8,Turkey,Yesiloz,2015/10/15,40.231444,32.260328,fall,TR_Yes,pooled,Europe,DrosEU,40,SRR8439107,SRX5246601,2015,288,TUM00017130,61.6148065349833
TR_Yes_16_39,Turkey,Yesiloz TR13,2016/05/26,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8494467,SRX5299000,2016,147,TUM00017130,61.6148065349833
TR_Yes_16_40,Turkey,Yesiloz TR14,2016/06/25,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8494465,SRX5299002,2016,177,TUM00017130,61.6148065349833
TR_Yes_16_41,Turkey,Yesiloz TR15,2016/07/27,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8494464,SRX5299003,2016,209,TUM00017130,61.6148065349833
TR_Yes_16_42,Turkey,Yesiloz TR16,2016/08/24,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8494463,SRX5299004,2016,237,TUM00017130,61.6148065349833
TR_Yes_16_43,Turkey,Yesiloz TR17,2016/09/27,40.231444,32.260328,spring,TR_Yes,pooled,Europe,DrosEU,40,SRR8494468,SRX5298999,2016,271,TUM00017130,61.6148065349833
TR_Yes_16_52,Turkey,Yesiloz TR18,2016/10/13,40.231444,32.260328,fall,TR_Yes,pooled,Europe,DrosEU,40,SRR8494423,SRX5299044,2016,287,TUM00017130,61.6148065349833
UA_Che_14_28,Ukraine,Chornobyl (Cooling pond),2014/09/13,51.37330556,30.13830556,fall,UA_Che,pooled,Europe,DrosEU,40,SRR5647733,SRX2885375,2014,256,UPM00033231,12.0210621411055
UA_Che_14_29,Ukraine,Chornobyl Yaniv,2014/09/13,51.38691667,30.07330556,fall,UA_Che,pooled,Europe,DrosEU,40,SRR5647734,SRX2885374,2014,256,UPM00033231,16.0475348527614
UA_Che_14_47,Ukraine,Chornobyl Applegarden,2014/09/13,51.27263889,30.22136111,fall,UA_Che,pooled,Europe,DrosEU,40,SRR5647731,SRX2885377,2014,256,UPM00033231,1.41007826339895
UA_Che_14_48,Ukraine,Chornobyl Polisske,2014/09/13,51.27888889,29.39438889,fall,UA_Che,pooled,Europe,DrosEU,35,SRR5647742,SRX2885366,2014,256,UPM00033213,42.8526583539157
UA_Cho_15_24,Ukraine,Chornobyl Applegarden,2015/08/20,51.279245,30.213118,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439132,SRX5246576,2015,232,UPM00033231,1.44875466124534
UA_Cho_15_25,Ukraine,Chornobyl Applegarden,2015/06/15,51.279245,30.213118,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439133,SRX5246575,2015,166,UPM00033231,1.44875466124534
UA_Cho_15_26,Ukraine,Chornobyl Kopachi,2015/08/26,51.3352,30.136179,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439134,SRX5246574,2015,238,UPM00033231,8.90548229817053
UA_Cho_15_27,Ukraine,Chornobyl Yaniv,2015/08/26,51.38691667,30.07330556,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439135,SRX5246573,2015,238,UPM00033231,16.0475348527614
UA_Cho_15_65,Ukraine,Chornobyl (Cooling pond),2015/08/26,51.37330556,30.13830556,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439149,SRX5246559,2015,238,UPM00033231,12.0210621411055
UA_Cho_15_67,Ukraine,Chornobyl Applegarden,2015/08/26,51.279245,30.213118,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439128,SRX5246580,2015,238,UPM00033231,1.44875466124534
UA_Cho_15_68,Ukraine,Chornobyl Polisske,2015/08/26,51.27888889,29.39438889,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439169,SRX5246539,2015,238,UPM00033213,42.8526583539157
UA_Cho_15_69,Ukraine,Chornobyl Applegarden,2015/08/26,51.27263889,30.22136111,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439139,SRX5246569,2015,238,UPM00033231,1.41007826339895
UA_Cho_15_70,Ukraine,Chornobyl Applegarden,2015/07/07,51.279245,30.213118,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8439115,SRX5246593,2015,188,UPM00033231,1.44875466124534
UA_Cho_16_54,Ukraine,Chornobyl Applegarden,2016/09/04,51.27,30.21,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8494431,SRX5299036,2016,248,UPM00033231,2.16046126839134
UA_Cho_16_55,Ukraine,Chornobyl (Cooling pond),2016/09/05,51.37,30.13,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8494444,SRX5299023,2016,249,UPM00033231,12.0512271684199
UA_Cho_16_62,Ukraine,Chornobyl Yaniv,2016/09/04,51.38691667,30.07330556,spring,UA_Cho,pooled,Europe,DrosEU,40,SRR8494433,SRX5299034,2016,248,UPM00033231,16.0475348527614
UA_Dro_14_27,Ukraine,Drogobych,2014/08/24,49.32991667,23.50280556,spring,UA_Dro,pooled,Europe,DrosEU,40,SRR5647732,SRX2885376,2014,236,UPM00033398,2.46030687751957
UA_Dro_15_10,Ukraine,Drogobych,2015/09/18,49.32991667,23.50280556,spring,UA_Dro,pooled,Europe,DrosEU,40,SRR8439116,SRX5246592,2015,261,UPM00033398,2.46030687751957
UA_Dro_16_56,Ukraine,Drogobych,2016/09/12,49.32991667,23.50280556,spring,UA_Dro,pooled,Europe,DrosEU,40,SRR8494441,SRX5299026,2016,256,UPM00033398,2.46030687751957
UA_Kan_16_57,Ukraine,Kaniv,2016/07/08,49.72,31.53,spring,UA_Kan,pooled,Europe,DrosEU,40,SRR8494448,SRX5299019,2016,190,UPM00033466,38.6912935330859
UA_Kha_14_45,Ukraine,Kharkiv,2014/07/26,49.81852778,36.05475,spring,UA_Kha,pooled,Europe,DrosEU,40,SRR5647747,SRX2885361,2014,207,UPM00034300,17.4159430956053
UA_Kha_14_46,Ukraine,Kharkiv,2014/09/14,49.81852778,36.05475,fall,UA_Kha,pooled,Europe,DrosEU,40,SRR5647730,SRX2885378,2014,257,UPM00034300,17.4159430956053
UA_Kha_15_19,Ukraine,Kharkiv,2015/08/20,49.81852778,36.05475,spring,UA_Kha,pooled,Europe,DrosEU,40,SRR8439146,SRX5246562,2015,232,UPM00034300,17.4159430956053
UA_Kha_16_58,Ukraine,Kharkiv,2016/08/18,49.81852778,36.05475,spring,UA_Kha,pooled,Europe,DrosEU,40,SRR8494446,SRX5299021,2016,231,UPM00034300,17.4159430956053
UA_Kyi_14_23,Ukraine,Kyiv,2014/08/09,50.34402778,30.48911111,spring,UA_Kyi,pooled,Europe,DrosEU,40,SRR5647736,SRX2885372,2014,221,UPM00033345,6.96840190466676
UA_Kyi_14_24,Ukraine,Kyiv,2014/09/08,50.34402778,30.48911111,fall,UA_Kyi,pooled,Europe,DrosEU,40,SRR5647737,SRX2885371,2014,251,UPM00033345,6.96840190466676
UA_Kyi_14_49,Ukraine,Kyiv,2014/10/11,50.34402778,30.48911111,fall,UA_Kyi,pooled,Europe,DrosEU,40,SRR5647743,SRX2885365,2014,284,UPM00033345,6.96840190466676
UA_Kyi_15_64,Ukraine,Kyiv (Vyshneve),2015/08/10,50.383374,30.368038,spring,UA_Kyi,pooled,Europe,DrosEU,40,SRR8439147,SRX5246561,2015,222,UPM00033345,11.882592816949
UA_Kyi_16_44,Ukraine,Kyiv (Vyshneve),2016/08/04,50.3834,30.3682,spring,UA_Kyi,pooled,Europe,DrosEU,40,SRR8494466,SRX5299001,2016,217,UPM00033345,11.8707599061691
UA_Kyi_16_45,Ukraine,Kyiv (Vyshneve),2016/10/03,50.38,30.36,fall,UA_Kyi,pooled,Europe,DrosEU,40,SRR8494428,SRX5299039,2016,277,UPM00033345,12.5092384761761
UA_Kyi_16_59,Ukraine,Kyiv (Vyshneve),2016/08/06,50.38,30.36,spring,UA_Kyi,pooled,Europe,DrosEU,40,SRR8494430,SRX5299037,2016,219,UPM00033345,12.5092384761761
UA_Ode_14_19,Ukraine,Odesa,2014/07/03,46.44155556,30.77169444,spring,UA_Ode,pooled,Europe,DrosEU,40,SRR5647766,SRX2885342,2014,184,UPM00033837,11.6935088588022
UA_Ode_14_20,Ukraine,Odesa,2014/07/22,46.44155556,30.77169444,spring,UA_Ode,pooled,Europe,DrosEU,40,SRR5647765,SRX2885343,2014,203,UPM00033837,11.6935088588022
UA_Ode_14_21,Ukraine,Odesa,2014/08/29,46.44155556,30.77169444,spring,UA_Ode,pooled,Europe,DrosEU,40,SRR5647768,SRX2885340,2014,241,UPM00033837,11.6935088588022
